Publication Year;Title;Author;Venue;Included?;IC1;IC2;IC3;EC1;EC2;EC3;EC4;EC5;EC6;Source;Rationale;;
2014;Assessment of resident operative performance using a real-time mobile web system: preparing for the milestone age;"Wagner, Justin P; Chen, David C; Donahue, Timothy R; Quach, Chi; Hines, O Joe; Hiatt, Jonathan R; Tillou, Areti";Journal of surgical education, Elsevier;No;;FALSO;;;;;;;;OriginalStudy;Focuses on using a mobile web app for surgical education. No measurement-based experiments.;;
2017;The influence of information overload on the development of trust and purchase intention based on online product reviews in a mobile vs. web environment: an empirical investigation;"Furner, Christopher P; Zinko, Robert A";Electronic Markets, Springer;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement-based experiment on run-time characteristics of mobile web entities.;;
2013;Student achievement in paper, computer/web and mobile based assessment.;"Nikou, Stavros; Economides, Anastasios A";Citeseer;No;;FALSO;;;;;;;;OriginalStudy;Focuses on using mobile devices in learning. No measurement-based experiments on runtime characteristics of mobile web entities.;;
2018;A technical note on the PainChek™ system: a web portal and mobile medical device for assessing pain in people with dementia;"Atee, Mustafa; Hoti, Kreshnik; Hughes, Jeffery D";Frontiers in aging neuroscience;No;;FALSO;;;;;;;;OriginalStudy;Focuses on webapp based pain management system and how it can help patients.  No measurement-based experiments on runtime characteristics of mobile web entities.;;
2015;Mobile Web Surveys: a First Look at Measurement, Nonresponse, and Coverage Errors.;Antoun, Christopher;;No;;;;;;;VERO;;;OriginalStudy;Its a thesis.;;
2019;Science education and mobile learning: A content analysis review of the web of science database;"Odabasi, Metin; Uzunboylu, Huseyin; Popova, Olga; Kosarenko, Nikolay; Ishmuradova, Izida";International Journal of Emerging Technologies in Learning (iJET);No;;FALSO;;;;;;;;OriginalStudy;Duplicate Not about measurement based experiments + is also a secondary study.;;
2013;Comparing survey results obtained via mobile devices and computers: An experiment with a mobile web survey on a heterogeneous group of mobile devices versus a computer-assisted web survey;"De Bruijne, Marika; Wijnant, Arnaud";Social Science Computer Review, Social Science Computer Review;No;;FALSO;;;;;;;;OriginalStudy;Focuses on effect of administering surveys on mobile devices on answer behavior. No measurement-based experiments were reported.;;
2016;Searching by talking: Analysis of voice queries on mobile web search;Guy, Ido;Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments on runtime characteristics of mobile web entities.;;
2009;Mobile formative assessment tool based on data mining techniques for supporting web-based learning;"Chen, Chih-Ming; Chen, Ming-Chuan";Computers & Education, Elsevier;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments on runtime characteristics of mobile web entities.;;
2004;Do size and structure matter to mobile users? An empirical study of the effects of screen size, information structure, and task complexity on user activities with standard web phones;"Chae, Minhee; Kim, Jinwoo";Behaviour & information technology, Taylor & Francis;No;;;;;;;;;;OriginalStudy;Focuses on how screen size and information structure affect user behaviours and perceptions. Not runtime characteristics of mobile web entities.;;
2017;Effects of mobile versus PC web on survey response quality: A crossover experiment in a probability web panel;"Antoun, Christopher; Couper, Mick P; Conrad, Frederick G";Public Opinion Quarterly, Oxford University Press US;No;;FALSO;;;;;;;;OriginalStudy;Focuses on how survey quality differents between mobile versus PC. Not on measurement based experiments characterizing runtime properties of mobile web entities.;;
2016;An empirical study of the cross-channel effects between web and mobile shopping channels;"Huang, Lei; Lu, Xianghua; Ba, Sulin";Information & Management, Elsevier;No;;FALSO;;;;;;;;OriginalStudy;Focuses on impact of mobile customers on sales. No measurement-based experiments on runtime characteristics of mobile web entieis.;;
2010;Mobile TCP usage characteristics and the feasibility of network migration without infrastructure support;"Rahmati, Ahmad; Shepard, Clayton; Nicoara, Angela; Zhong, Lin; Singh, Jatinder Pal;";ACM SIGMOBILE Mobile Computing and Communications Review;No;;;;;;;VERO;;;OriginalStudy;Is a poster;;
2007;Context-for-wireless: context-sensitive energy-efficient wireless data transfer;"Rahmati, Ahmad; Zhong, Lin;";Proceedings of the 5th international conference on Mobile systems, applications and services;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2010;Bartendr: a practical approach to energy-aware cellular data scheduling;"Schulman, Aaron; Navda, Vishnu; Ramjee, Ramachandran; Spring, Neil; Deshpande, Pralhad; Grunewald, Calvin; Jain, Kamal; Padmanabhan, Venkata N;";Proceedings of the sixteenth annual international conference on Mobile computing and networking;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2009;Augmented smartphone applications through clone cloud execution.;"Chun, Byung-Gon; Maniatis, Petros;";HotOS;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments + not about the mobile web.;;
;Making smartphones last longer with code offload;"Cuervo, ABE; Cho, D-k; Wolman, A; Saroiu, S; Chandra, R; Bahl, P;";8th international conference on Mobile systems, applications, and services;No;;;;;VERO;;;;;OriginalStudy;Is only a citation.;;
1999;The Coign automatic distributed partitioning system;"Hunt, Galen; Scott, Michael;";;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2001;Self-tuned remote execution for pervasive computing;"Flinn, Jason; Narayanan, Dushyanth; Satyanarayanan, Mahadev;";Proceedings Eighth Workshop on Hot Topics in Operating Systems;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2002;Balancing performance, energy, and quality in pervasive computing;"Flinn, Jason; Park, SoYoung; Satyanarayanan, Mahadev;";Proceedings 22nd International Conference on Distributed Computing Systems;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2002;The design and implementation of Zap: A system for migrating computing environments;"Osman, Steven; Subhraveti, Dinesh; Su, Gong; Nieh, Jason;";ACM SIGOPS Operating Systems Review;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2000;Compiler-directed remote task execution for power management;"Kremer, Ulrich; Hicks, Jamey; Rehg, James M;";Proceedings of the Workshop on Compilers and Operating Systems for Low Power;No;FALSO;;;;;;;;;OriginalStudy;Does not focus on mobile web.;;
2008;Tapping into the fountain of CPUs: on operating system support for programmable devices;"Weinsberg, Yaron; Dolev, Danny; Anker, Tal; Ben-Yehuda, Muli; Wyckoff, Pete;";Proceedings of the 13th international conference on Architectural support for programming languages and operating systems;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2010;Improving energy efficiency of location sensing on smartphones;"Zhuang, Zhenyun; Kim, Kyu-Han; Singh, Jatinder Pal;";Proceedings of the 8th international conference on Mobile systems, applications, and services;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2013;Seflab: A lab for measuring software energy footprints;"Ferreira, Miguel A; Hoekstra, Eric; Merkus, Bo; Visser, Bram; Visser, Joost;";2013 2nd International workshop on green and sustainable software (GREENS);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;Analyzing mobile application software power consumption via model-driven engineering;"Thompson, Chris; White, Jules; Schmidt, Douglas C;";Advances and Applications in Model-Driven Engineering;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;Mobile offloading in the wild: Findings and lessons learned through a real-life experiment with a new cloud-aware system;"Barbera, Marco V; Kosta, Sokol; Mei, Alessandro; Perta, Vasile C; Stefa, Julinda;";IEEE INFOCOM 2014-IEEE Conference on Computer Communications;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;Reducing energy consumption of smartphones using user-perceived response time analysis;"Song, Wook; Sung, Nosub; Chun, Byung-Gon; Kim, Jihong;";Proceedings of the 15th Workshop on Mobile Computing Systems and Applications;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2015;A Review on mobile application energy profiling: Taxonomy, state-of-the-art, and open research issues;"Ahmad, Raja Wasim; Gani, Abdullah; Hamid, Siti Hafizah Ab; Xia, Feng; Shiraz, Muhammad;";Journal of Network and Computer Applications;No;;;;;;VERO;;;;OriginalStudy;Is a review.;;
2013;Do i know you? Efficient and privacy-preserving common friend-finder protocols and applications;"Nagy, Marcin; De Cristofaro, Emiliano; Dmitrienko, Alexandra; Asokan, N; Sadeghi, Ahmad-Reza;";Proceedings of the 29th Annual Computer Security Applications Conference;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2015;Software defined batteries;"Badam, Anirudh; Chandra, Ranveer; Dutra, Jon; Ferrese, Anthony; Hodges, Steve; Hu, Pan; Meinershagen, Julia; Moscibroda, Thomas; Priyantha, Bodhi; Skiani, Evangelia;";Proceedings of the 25th Symposium on Operating Systems Principles;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;On the energy overhead of mobile storage systems;"Li, Jing; Badam, Anirudh; Chandra, Ranveer; Swanson, Steven; Worthington, Bruce; Zhang, Qi;";12th {USENIX} Conference on File and Storage Technologies ({FAST} 14);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;An anonymous end-to-end communication protocol for mobile cloud environments;"Ardagna, Claudio A; Conti, Mauro; Leone, Mario; Stefa, Julinda;";IEEE transactions on services computing;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2015;Diagnosing energy efficiency and performance for mobile internetware applications;"Liu, Yepang; Xu, Chang; Cheung, Shing-Chi;";IEEE Software;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web, more about native apps.;;
2015;Revisiting network energy efficiency of mobile apps: Performance in the wild;"Rosen, Sanae; Nikravesh, Ashkan; Guo, Yihua; Mao, Z Morley; Qian, Feng; Sen, Subhabrata;";Proceedings of the 2015 Internet Measurement Conference;No;FALSO;;;;;;;;;OriginalStudy;Not about mobile web apps, more about native apps.;;
1998;Remote reality demonstration;"Boult, Terrance E;";Proceedings. 1998 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (Cat. No. 98CB36231);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2013;Comparing mobile applications' energy consumption;"Wilke, Claas; Piechnick, Christian; Richly, Sebastian; Püschel, Georg; Götz, Sebastian; Aßmann, Uwe;";Proceedings of the 28th Annual ACM Symposium on Applied Computing;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web, more about native apps.;;
2014;{PCP}: A Generalized Approach to Optimizing Performance Under Power Constraints through Resource Management;"Hoffmann, Henry; Maggio, Martina;";11th International Conference on Autonomic Computing ({ICAC} 14);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;Utilize signal traces from others? A crowdsourcing perspective of energy saving in cellular data communication;"Ou, Zhonghong; Dong, Jiang; Dong, Shichao; Wu, Jun; Ylä-Jääski, Antti; Hui, Pan; Wang, Ren; Min, Alexander W;";IEEE Transactions on Mobile Computing;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;Demystifying energy usage in smartphones;"Chen, Xiang; Chen, Yiran; Dong, Mian; Zhang, Charlie;";2014 51st ACM/EDAC/IEEE Design Automation Conference (DAC);No;FALSO;;;;;;;;;OriginalStudy;Focuses more on native apps.;;
2019;Modeling the total energy consumption of mobile network services and applications;"Yan, Ming; Chan, Chien Aun; Gygax, André F; Yan, Jinyao; Campbell, Leith; Nirmalathas, Ampalavanapillai; Leckie, Christopher;";Energies;No;FALSO;;;;;;;;;OriginalStudy;Does not focus on mobile web.;;
2015;A User-Centric Response Time Analyzer for Improving User Experience of Android Applications;"Song, Wook; Sung, Nosub; Kim, Jihong;";KIISE Transactions on Computing Practices;No;;;;;VERO;;;;;OriginalStudy;Full text is not available and is probably also not in English.;;
2017;Energy-efficient mobile Web computing;"Zhu, Yuhao;";;No;;;;;;;VERO;;;OriginalStudy;Is a thesis/dissertation.;;
;Energy Efficient Mobile Web via Scripts&Stylesheets Based Transcoding;"Ünlü, Hüseyin; Yesilada, Yeliz;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2015;DESIGN, IMPLEMENTATION AND TESTING OF A MOBILE CLOUD;"Moiz, Abdul;";;No;;;;;;;VERO;;;OriginalStudy;Again, is a MSc thesis.;;
2018;Solid State Drives for Big Data and Little Clients;"Li, Jing;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd dissertation.;;
2019;Energy Conservation in the Era of Ubiquitous Computing;"Haleem, PP Abdul;";Advanced Methodologies and Technologies in Artificial Intelligence, Computer Simulation, and Human-Computer Interaction;No;;;;;VERO;;;;;OriginalStudy;Full text is not available.;;
2014;Ocenjevanje energijske porabe spletnih strani z metodami strojnega učenja;"Bartol, Florjan;";;No;;;;VERO;;;;;;OriginalStudy;Not in English;;
2017;SVG: n soveltuvuus verkkosivukehityksen ensisijaiseksi grafiikkaformaatiksi;"Peltonen, Janne;";;No;;;;VERO;;;;;;OriginalStudy;Again, not in English.;;
2015;Cargadores solares portátiles para el uso de dispositivos móviles en zonas rurales aisladas del NOA;"Rocabado Moreno, Sergio Hernán; Cadena, Carlos; Díaz, Francisco Javier;";Avances en Energías Renovables y Medio Ambiente;No;;;;VERO;;;;;;OriginalStudy;Yet again, not in English.;;
2014;gDFS: Um Mecanismo de Otimização Para Redução de Consumo de Energia em Smartphones Através de Uma Estratégia Baseada em Grupos de Aplicações;"BARRETO NETO, Antônio Correia de Sá;";;No;;;;VERO;;;;;;OriginalStudy;Not in English;;
2016;Smartphones as ubiquitous devices for behavior analysis and better lifestyle promotion;"Ciman, Matteo;";;No;;;;VERO;;;;;;OriginalStudy;Not in English;;
2015;CoHear: 環境音を利用した近隣モバイル端末推定手法;"佐藤弘之; 岩元啓; 鈴木誠; 森川博之;";研究報告モバイルコンピューティングとユビキタス通信 (MBL);No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2015;モバイル向け Web サイトの消費電力に関する一考察;"井原卓也; 土岐卓; 大岸智彦; 小花貞夫;";第 77 回全国大会講演論文集;No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2020;Optimización del consumo energético en dispositivos móviles para su uso en zonas rurales aisladas abastecidas con energía solar fotovoltaica;"Rocabado Moreno, Sergio Hernán;";;No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2013;안드로이드 스마트폰을 위한 자동화된 전력 소모 측정 환경 구축;"박성준; 경주현; 임성수;";한국정보과학회 학술발표논문집;No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2015;Uso de dispositivos móviles en zonas rurales aisladas abastecidas con energía solar fotovoltaica;"Rocabado Moreno, Sergio Hernán; Díaz, Francisco Javier; Cadena, Carlos;";XXI Congreso Argentino de Ciencias de la Computación (Junín, 2015);No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
;PROPUESTA PARA EL USO DE DISPOSITIVOS MÓVILES ABASTECIDOS CON ENERGÍA SOLAR FOTOVOLTAICA EN ESCUELAS RURALES AISLADAS;"Rocabado, Sergio; Cadena, Carlos; Binda, Adriana; Sanchez, Ernesto;";;No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2016;Eficiencia energética en dispositivos móviles para facilitar su uso en zonas rurales aisladas;"Rocabado Moreno, Sergio Hernán; Sanchez, Ernesto; Herrera, Susana Isabel; Cadena, Carlos;";XVIII Workshop de Investigadores en Ciencias de la Computación (WICC 2016, Entre Ríos, Argentina);No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2012;Unidad Zacatenco Departamento de Computación;"Hernández, Irene Monserrat Torres;";;No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2015;Consumo energético en widgets de navegación para dispositivos móviles con pantallas táctiles;"Quintos, Ana Belem Márquez;";;No;;;;VERO;;;;;;OriginalStudy;Study is not written in English;;
2017;A hardware accelerated proportional text layout and placement engine;"Beiragh, S Servati; Muscedere, Roberto;";2017 IEEE 30th Canadian Conference on Electrical and Computer Engineering (CCECE);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2015;THE UNIVERSITY OF CHICAGO;"IMES, CONNOR KELLY;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2013;Design of client aware scheduler for XEN with enhanced techniques to improve cloud performance;"Tippa, Nani;";;No;;;;;;;VERO;;;OriginalStudy;Is a thesis.;;
2015;Implications of HCI in Energy Consumption Between Native and Rich-Client Applications for Navigations Widgets in Tablets;"Quintos, Ana Belem Márquez; Viveros, Amilcar Meneses; Rubio, Erika Hernández;";International Conference on Human-Computer Interaction;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web;;
;High-Accuracy Energy Measurements on Mobile Devices;"Varvello, Matteo; Katevas, Kleomenis; Plesa, Mihai; Haddadi, Hamed; Livshits, Ben;";;No;;;;;;;VERO;;;OriginalStudy;Is a poster;;
2017;Compressive sensing-based data uploading in time-driven public sensing applications;"Chen, Na;";;No;;;;;;;VERO;;;OriginalStudy;Is a thesis.;;
2015;Taming Webpage Complexity to Optimize User Experience on Mobile Devices;"Butkiewicz, Michael;";;No;;;;;;;VERO;;;OriginalStudy;Is a thesis.;;
2019;An insight into mobile advertising and its impact on the resources of handheld devices: a survey;"Albasir, Abdurhman; Alsabaan, Maazen; Naik, Kshirasagar;";International Journal of Big Data Intelligence;No;FALSO;;;;;;;;;OriginalStudy;Not specifically about mobile web. more about native apps.;;
;Energy Efficient Web Surfing for Smart Phones;"Umesh, Mulik; Sanket, Bora; Ankita, Chavan; Jyoti, Bande;";;No;;;;;VERO;;;;;OriginalStudy;Is a citation only..;;
2015;An energy-saving model for service-oriented mobile application development;"Mateos Diaz, Cristian Maximiliano; Lizarralde, Ignacio; Zunino Suarez, Alejandro Octavio;";SADIO Electronic Journal of Informatics and Operations Research;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
;OPTIMIZATION OF SMARTPHONE BATTERY LIFE USING CUSTOM BROWSER;"Valli, P Amudha; Beena, SP Audline; Aishwarya, M; Rani, R Dilli; Priya, P Divya;";International Research Journal of Latest Trends in Engineering and Technology ;No;;FALSO;;;;;;;;OriginalStudy;Presenst no measurement-based experiment.;;
2013;Extending Power Management in Android OS via a WakeLock early-release mechanism;"안토니;";;No;;;;VERO;;;;;;OriginalStudy;Not in English.;;
;AdCache: Mobile ads and their impact on your battery;"Vallina-Rodriguez, Narseo; Shah, Jay; Finamore, Alessandro; Grunenberger, Yan; Haddadi, Hamed; Crowcroft, Jon;";;No;;;;;VERO;;;;;OriginalStudy;Is a citation only.;;
2017;BEFTIGRE: Behaviour‐driven full‐tier green evaluation of mobile cloud applications;"Chinenyeze, Samuel J; Liu, Xiaodong; Al‐Dubai, Ahmed;";Journal of Software: Evolution and Process;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web, focuses on cloud.;;
;Efficient Energy Consumption Approach during Browsing in Android Smartphones;"Sonwane, Ashwini M;";;No;;;;;VERO;;;;;OriginalStudy;Is a citation only.;;
2014;Cloud Computing and Offloading Framework;"Najim, Ahmed Haitham; mohammed Madbouly, Magda;";Transactions on Networks and Communications;No;;;;;VERO;;;;;OriginalStudy;Full text is not available.;;
2013;Master Software Engineering;"Kalaitzoglou, Georgios; Bruntink, Magiel; Ferreira, Miguel;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis;;
2016;Energy Modeling and Management for Data Services in Multi-Tier Mobile Cloud Architectures;"Xu, Zichen;";;No;;;;;VERO;;;;;OriginalStudy;is a citation only.;;
2014;Faculty of Engineering School of Electrical and Information Engineering;"Jiang, Fangzhou;";;No;;;;;VERO;;;;;OriginalStudy;Again, is a citation only.;;
2017;SMART CACHING OF DATA OBJECTS FOR WEB BROWSERS;"VAISHNAVI, P;";International Research Journal of Engineering and Technology;No;;FALSO;;;;;;;;OriginalStudy;No measurement-based experiments are done.;;
2012;Using SWE Standards for Ubiquitous Environmental Sensing: A Performance Analysis;"Tamayo Fong, Alain; Granell, Carlos; Huerta, Joaquín;";;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2013;Can Mobile-to-Mobile Browser Cache Cooperation Reduce Energy Consumption of Internet Access?;"WALES, NEW SOUTH;";;No;;;;;;;VERO;;;OriginalStudy;Is a technical report;;
2012;Integrating Cloud Applications with Mobile Devices: Design Principles and Performance Optimizations;"Giurgiu, Ioana;";;No;;;;;;;VERO;;;OriginalStudy;Is the summary of a thesis...;;
2013;Electrical Engineering and Computer Science Department;"Slower, Even; Swiech, Maciej; Dinda, Peter;";;No;;;;;;;VERO;;;OriginalStudy;Is a technical report;;
2020;Energy Awareness in Mobile Embedded Systems;"Ghanei, Farshad;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis.;;
2017;Video Streaming Energy Consumption Analysis for Content Adaption Decision-Taking;"Ismail, Mohd Norasri; Fudzee, Mohd Farhan Md; Ibrahim, Rosziati; Jofri, Muhammad Hanif;";Journal of Telecommunication, Electronic and Computer Engineering (JTEC);No;FALSO;;;;;;;;;OriginalStudy;Does not focus on mobile web.;;
2014;Empirical Evaluation of Mobile Applications and an Adaptive Approach to Computation Offloading;"Zhan, Kelie;";;No;;;;;;;VERO;;;OriginalStudy;Is a thesis (MSc);;
2015;Detecting file://and exposed component vulnerabilities in Android apps;"Wu, Daoyuan;";;No;;;;;VERO;;;;;OriginalStudy;is a citation only.;;
2016;Controlling Green Users for A Happier Cloud;"Swiech, Maciej;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis.;;
2020;Impact of programming languages on energy consumption for mobile devices;"Kholmatova, Zamira;";Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering;No;FALSO;;;;;;;;;OriginalStudy;Does not focus on mobile web.;;
2014;Cloud Computing and Offloading Framework for enhancing Android Smart Device Battery Life;"Najim, Ahmed H; Guirguis, Shawkat K; Madbouly, Magda M;";EDITORIAL ADVISORY BOARD;No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
;Analyzing the Energy Consumption of Mobile Antivirus Software;"Polakis, Iasonas; Diamantaris, Michalis; Petsas, Thanasis; Maggi, Federico; Ioannidis, Sotiris;";;No;FALSO;;;;;;;;;OriginalStudy;Anti Virus is a native app;;
2015;Joint Media Streaming Optimization of Energy and Rebuffering Time in Cellular Networks;"Lai, Zeqi; Cui, Yong; Bao, Yayun; Liu, Jiangchuan; Zhao, Yingchao; Ma, Xiao;";2015 44th International Conference on Parallel Processing;No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
2013;The effectiveness of multicore processors in modern smartphones;"Home, DJ;";;No;;;;;VERO;;;;;OriginalStudy;Is a citation only.;;
2020;WWW Retrieval Handling Optimization wρ3: A metric for webpage timeout setting performance evaluation and comparison;"Seeling, Patrick;";Future Generation Computer Systems;No;FALSO;;;;;;;;;OriginalStudy;No specific focus on the mobile web.;;
2017;An empirical study of the power consumption of cryptographic primitives in android;"Montenegro, Jose A; Pinto, Monica; Fuentes, Lidia;";arXiv preprint arXiv:1705.03558;No;FALSO;;;;;;;;;OriginalStudy;Focus lies on native apps.;;
2012;Measuring the energy consumption of communication interfaces on smartphones using a moderately-invasive technique;"Abreu, David Perez; Villapol, Maria E;";2012 Global Information Infrastructure and Networking Symposium (GIIS);No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
2015;스마트폰 응용 프로그램의 사용자 경험 향상을 위한 사용자 중심 반응 시간 분석 도구;"송욱; 성노섭; 김지홍;";정보과학회 컴퓨팅의 실제 논문지;No;;;;VERO;;;;;;OriginalStudy;Is not in English.;;
2016;Enabling energy-awareness for internet video;"Ejembi, Oche Omobamibo;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis;;
2016;Memory Interference Characterization and Mitigation for Heterogeneous Smartphones;"Shingari, Davesh;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2014;Performance Testing of Mobile Applications on Smartphones;"Albasir, Abdurhman; Mahinthan, Valuppillai; Naik, Kshirasagar; Abogharaf, Abdulhakim; Goel, Nishith; Plourde, Bernard J;";International Journal of Handheld Computing Research (IJHCR);No;;;;;VERO;;;;;OriginalStudy;Can't access the full text.;;
;Co-operative Content Adaptation Framework;"Dubey, Ayush; De, Pradipta; Dey, Kuntal; Mittal, Sumit; Agarwal, Vikas; Chetlur, Malolan; Mukherjea, Sougata;";;No;;;;;;;VERO;;;OriginalStudy;Is a poster;;
2013;Enabling Energy-Efficient Advertising for Mobile Applications;"Prochkova, Irena;";;No;;;;;VERO;;;;;OriginalStudy;Is a citation only;;
;A Study of fair memory access via process scheduling in manycore systems;"Barati, Saeid; Hoffmann, Henry;";;No;;;;;VERO;;;;;OriginalStudy;Again, only a citation.;;
2013;Electrical Engineering and Computer Science Department;"Xia, Lei;";;No;;;;;;;VERO;;;OriginalStudy;Is a technical report;;
2019;OS-based energy accounting for asynchronous resources in IoT devices;"Ghanei, Farshad; Tipnis, Pranav; Marcus, Kyle; Dantu, Karthik; Ko, Steven Y; Ziarek, Lukasz;";IEEE Internet of Things Journal;No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
2015;Improing Screen Power Usage Model on Android Smartphones;"Lu, Ziling; Cao, Chun; Tao, XianPing;";2015 Asia-Pacific Software Engineering Conference (APSEC);No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
2016;An analysis of the effects of bad smell-driven refactorings in mobile applications on battery usage;"Rodríguez, Ana Victoria; Mateos, Cristian; Zunino, Alejandro; Longo, Mathias;";Modern Software Engineering Methodologies for Mobile and Cloud Environments;No;;;;;VERO;;;;;OriginalStudy;Full text is not available.;;
2013;Enabling linked data access to the internet of things;"Ermilov, Timofey; Auer, Sören;";Proceedings of International Conference on Information Integration and Web-based Applications & Services;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2013;An evaluation of smartphone resources used by web advertisements;"Albasir, Abdurhman;";;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2013;Voice recognition framework for open rich-client mobile applications;"Hernandez, Irene Monserrat Torres; Viveros, Amilcar Meneses; Rubio, Erika Hernandez; Carvajal-Gamez, Blanca E;";2013 10th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE);No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2014;Factors influencing performance of smart mobile user stashy;"Jiang, Fangzhou; Seneviratne, A;";NICTA, Tech. Rep;No;;;;;VERO;;;;;OriginalStudy;Is a citation only.;;
2017;Reducing energy consumption of resource-intensive scientific mobile applications via code refactoring;"Rodriguez, Ana;";2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C);No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
2019;Graphics-aware power governing for mobile devices;"Choi, Yonghun; Park, Seonghoon; Cha, Hojung;";Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services;No;FALSO;;;;;;;;;OriginalStudy;Does not focus solely on the mobile web, more native apps.;;
2016;Eficiencia energética en dispositivos móviles para facilitar su uso en zonas rurales aisladas;"Rocabado, Sergio; Sanchez, Ernesto; Herrera, Susana; Cadena, Carlos;";Argentina. Concordia. Libro. Artículo Breve. Workshop. XVIII Workshop de Investigadores en Ciencias de la Computación. Red UNCI;No;;;;VERO;;;;;;OriginalStudy;Is not in English.;;
2013;Social-context based routing and security in delay tolerant networks;"Cabaniss, Roy A;";;No;;;;;;;VERO;;;OriginalStudy;Is a Phd thesis.;;
2013;Android: Resource Consumption in Native and Web Applications;"Cortes, Christoffer; Krauser, Adam;";;No;;;;;;;VERO;;;OriginalStudy;Is a BSc thesis.;;
2019;Forward Caching Hints to Reduce WASTE;"Bailey, Matthew J; Seeling, Patrick;";2019 16th IEEE Annual Consumer Communications & Networking Conference (CCNC);No;FALSO;;;;;;;;;OriginalStudy;No focus on the mobile web.;;
2018;Energy saving strategies in the design of mobile device applications;"Meneses-Viveros, Amilcar; Hernández-Rubio, Erika; Mendoza, Sonia; Rodríguez, José; Quintos, Ana Belem Márquez;";Sustainable Computing: Informatics and Systems;No;;;;;;VERO;;;;OriginalStudy;Is a literature review;;
